order_id,customer_id,city,category,amount,quantity,payment_method,status,created_at,updated_at
ORD-0000001,CUST-2676,Da Nang,Home & Kitchen,199.22,4,Credit Card,COMPLETED,2026-05-21 10:59:51,2026-05-21 10:59:51
ORD-0000002,CUST-5263,Can Tho,Electronics,1019.27,4,Bank Transfer,COMPLETED,2026-02-03 00:21:29,2026-02-03 00:21:29
ORD-0000003,CUST-3587,Ho Chi Minh,Clothing,1134.98,3,COD,COMPLETED,2026-06-06 10:46:00,2026-06-06 10:46:00
ORD-0000004,CUST-9083,Nha Trang,Clothing,523.93,2,Credit Card,COMPLETED,2026-06-03 10:19:57,2026-06-03 10:19:57
ORD-0000005,CUST-9741,Ho Chi Minh,Beauty,1163.2,1,E-Wallet,COMPLETED,2026-03-10 12:47:57,2026-03-10 12:47:57
ORD-0000006,CUST-6449,Hue,Electronics,1477.83,1,Credit Card,COMPLETED,2026-05-27 13:35:04,2026-05-27 13:35:04
ORD-0000007,CUST-7896,Ha Noi,Clothing,1456.51,3,E-Wallet,COMPLETED,2026-04-22 15:00:41,2026-04-22 15:00:41
ORD-0000008,CUST-1082,Can Tho,Home & Kitchen,1198.54,4,E-Wallet,COMPLETED,2026-01-18 09:12:57,2026-01-18 09:12:57
ORD-0000009,CUST-2802,Ho Chi Minh,Books,843.32,2,Credit Card,COMPLETED,2026-03-07 08:42:27,2026-03-07 08:42:27
ORD-0000010,CUST-3835,Da Nang,Books,470.59,5,Bank Transfer,COMPLETED,2026-04-24 16:20:29,2026-04-24 16:20:29
ORD-0000011,CUST-1889,Ho Chi Minh,Sports,1243.34,2,Bank Transfer,COMPLETED,2026-04-14 16:00:56,2026-04-14 16:00:56
ORD-0000012,CUST-1812,Hue,Home & Kitchen,376.58,4,E-Wallet,COMPLETED,2026-01-20 21:57:34,2026-01-20 21:57:34
ORD-0000013,CUST-8754,Hue,Home & Kitchen,735.32,1,COD,COMPLETED,2026-04-29 07:09:12,2026-04-29 07:09:12
ORD-0000014,CUST-1268,Nha Trang,Books,739.07,3,Bank Transfer,COMPLETED,2026-06-23 21:00:43,2026-06-23 21:00:43
ORD-0000015,CUST-9005,Da Nang,Clothing,450.85,1,COD,COMPLETED,2026-02-20 00:44:02,2026-02-20 00:44:02
ORD-0000016,CUST-3883,Hai Phong,Electronics,1377.91,1,E-Wallet,COMPLETED,2026-01-29 08:12:14,2026-01-29 08:12:14
ORD-0000017,CUST-4759,Ha Noi,Home & Kitchen,599.81,3,Bank Transfer,COMPLETED,2026-04-14 05:14:43,2026-04-14 05:14:43
ORD-0000018,CUST-2515,Ho Chi Minh,Electronics,306.13,4,Credit Card,COMPLETED,2026-03-12 15:49:58,2026-03-12 15:49:58
ORD-0000019,CUST-4779,Ha Noi,Clothing,140.6,5,Bank Transfer,COMPLETED,2026-03-23 14:45:05,2026-03-23 14:45:05
ORD-0000020,CUST-5247,Ha Noi,Clothing,867.29,3,COD,COMPLETED,2026-01-01 14:46:05,2026-01-01 14:46:05
ORD-0000021,CUST-8671,Nha Trang,Home & Kitchen,902.65,3,Credit Card,COMPLETED,2026-02-09 02:59:36,2026-02-09 02:59:36
ORD-0000022,CUST-8532,Nha Trang,Home & Kitchen,52.3,5,Bank Transfer,COMPLETED,2026-02-17 20:16:36,2026-02-17 20:16:36
ORD-0000023,CUST-4808,Hue,Electronics,1333.48,2,Credit Card,COMPLETED,2026-05-16 13:00:00,2026-05-16 13:00:00
ORD-0000024,CUST-6328,Hue,Beauty,669.15,5,Credit Card,COMPLETED,2026-06-02 23:31:15,2026-06-02 23:31:15
ORD-0000025,CUST-3723,Ho Chi Minh,Books,1477.78,3,COD,COMPLETED,2026-06-01 01:16:20,2026-06-01 01:16:20
ORD-0000026,CUST-9743,Nha Trang,Books,1099.24,3,Bank Transfer,COMPLETED,2026-03-01 05:23:50,2026-03-01 05:23:50
ORD-0000027,CUST-2986,Can Tho,Sports,1400.79,5,E-Wallet,PENDING,2026-06-12 05:18:44,2026-06-12 05:18:44
ORD-0000028,CUST-7228,Da Nang,Home & Kitchen,1431.52,1,COD,COMPLETED,2026-04-20 07:42:26,2026-04-20 07:42:26
ORD-0000029,CUST-4749,Hue,Electronics,425.86,4,Credit Card,COMPLETED,2026-05-24 19:48:09,2026-05-24 19:48:09
ORD-0000030,CUST-1940,Da Nang,Clothing,158.11,5,Credit Card,COMPLETED,2026-06-23 00:21:27,2026-06-23 00:21:27
ORD-0000031,CUST-8638,Hue,Sports,926.35,2,COD,COMPLETED,2026-02-25 15:58:05,2026-02-25 15:58:05
ORD-0000032,CUST-4897,Da Nang,Clothing,697.64,4,Bank Transfer,COMPLETED,2026-03-14 13:00:15,2026-03-14 13:00:15
ORD-0000033,CUST-1214,Nha Trang,Sports,245.29,2,E-Wallet,COMPLETED,2026-04-16 10:52:50,2026-04-16 10:52:50
ORD-0000034,CUST-6020,Ho Chi Minh,Beauty,1069.28,3,COD,COMPLETED,2026-06-12 01:38:09,2026-06-12 01:38:09
ORD-0000035,CUST-7914,Ho Chi Minh,Electronics,674.34,2,COD,COMPLETED,2026-02-13 04:09:40,2026-02-13 04:09:40
ORD-0000036,CUST-7226,Ha Noi,Books,418.47,2,Credit Card,COMPLETED,2026-05-06 12:42:16,2026-05-06 12:42:16
ORD-0000037,CUST-9909,Ho Chi Minh,Sports,1389.39,4,E-Wallet,COMPLETED,2026-01-29 16:59:00,2026-01-29 16:59:00
ORD-0000038,CUST-7712,Da Nang,Electronics,448.36,4,Bank Transfer,COMPLETED,2026-03-27 21:22:35,2026-03-27 21:22:35
ORD-0000039,CUST-6953,Ho Chi Minh,Clothing,281.01,5,Bank Transfer,COMPLETED,2026-05-18 22:46:03,2026-05-18 22:46:03
ORD-0000040,CUST-8863,Nha Trang,Clothing,653.31,3,Bank Transfer,COMPLETED,2026-01-22 11:36:54,2026-01-22 11:36:54
ORD-0000041,CUST-3396,Ho Chi Minh,Beauty,393.8,5,Credit Card,COMPLETED,2026-01-12 19:43:31,2026-01-12 19:43:31
ORD-0000042,CUST-7705,Can Tho,Clothing,1109.01,4,Credit Card,COMPLETED,2026-01-22 16:34:16,2026-01-22 16:34:16
ORD-0000043,CUST-9050,Ho Chi Minh,Electronics,850.55,3,COD,COMPLETED,2026-01-14 01:00:06,2026-01-14 01:00:06
ORD-0000044,CUST-3474,Ho Chi Minh,Sports,1248.37,3,Bank Transfer,COMPLETED,2026-02-16 00:56:43,2026-02-16 00:56:43
ORD-0000045,CUST-7717,Can Tho,Beauty,921.18,4,Credit Card,COMPLETED,2026-06-10 20:24:15,2026-06-10 20:24:15
ORD-0000046,CUST-8738,Ho Chi Minh,Electronics,95.7,3,COD,COMPLETED,2026-06-03 03:06:15,2026-06-03 03:06:15
